"";"nom";"prenom";"age";"minutes";"Competition";"year";"saison";"lien"
"1550";"Hamdaoui";"Kylan";25;1157;"Top 14";1994;"18/19";"http://www.itsrugby.fr/joueur_30976.html"
"1551";"Ewels";"Charlie";24;433;"Premiership";1995;"18/19";"http://www.itsrugby.fr/joueur_30977.html"
"1552";"Ewels";"Charlie";23;855;"Premiership";1995;"17/18";"http://www.itsrugby.fr/joueur_30977.html"
"1553";"Ewels";"Charlie";22;1029;"Premiership";1995;"16/17";"http://www.itsrugby.fr/joueur_30977.html"
"1554";"Ewels";"Charlie";21;982;"Premiership";1995;"15/16";"http://www.itsrugby.fr/joueur_30977.html"
"1555";"Ewels";"Charlie";20;130;"Premiership";1995;"14/15";"http://www.itsrugby.fr/joueur_30977.html"
"1556";"Bachelier";"Lucas";24;479;"Top 14";1995;"18/19";"http://www.itsrugby.fr/joueur_31010.html"
"1557";"Lambey";"Felix";25;618;"Top 14";1994;"18/19";"http://www.itsrugby.fr/joueur_31011.html"
"1558";"Lambey";"Felix";24;1134;"Top 14";1994;"17/18";"http://www.itsrugby.fr/joueur_31011.html"
"1559";"Lambey";"Felix";23;728;"Top 14";1994;"16/17";"http://www.itsrugby.fr/joueur_31011.html"
"1560";"Fontaine";"Francois";21;40;"Top 14";1995;"15/16";"http://www.itsrugby.fr/joueur_31012.html"
"1561";"Meric";"Anthony";24;227;"Top 14";1995;"18/19";"http://www.itsrugby.fr/joueur_31013.html"
"1562";"Meric";"Anthony";23;48;"Top 14";1995;"17/18";"http://www.itsrugby.fr/joueur_31013.html"
"1563";"Meric";"Anthony";23;173;"Top 14";1995;"17/18";"http://www.itsrugby.fr/joueur_31013.html"
"1564";"Meric";"Anthony";21;10;"Top 14";1995;"15/16";"http://www.itsrugby.fr/joueur_31013.html"
"1565";"Meric";"Anthony";20;10;"Top 14";1995;"14/15";"http://www.itsrugby.fr/joueur_31013.html"
"1566";"Woolstencroft";"Tom";24;296;"Premiership";1994;"18/19";"http://www.itsrugby.fr/joueur_31014.html"
"1567";"Woolstencroft";"Tom";23;95;"Premiership";1994;"17/18";"http://www.itsrugby.fr/joueur_31014.html"
"1568";"Ellis";"Tom";24;576;"Premiership";1994;"18/19";"http://www.itsrugby.fr/joueur_31016.html"
"1569";"Ellis";"Tom";23;304;"Premiership";1994;"17/18";"http://www.itsrugby.fr/joueur_31016.html"
"1570";"Ellis";"Tom";22;1247;"Premiership";1994;"16/17";"http://www.itsrugby.fr/joueur_31016.html"
"1571";"Ellis";"Tom";21;218;"Premiership";1994;"15/16";"http://www.itsrugby.fr/joueur_31016.html"
"1572";"Walker";"Jack";23;317;"Premiership";1996;"18/19";"http://www.itsrugby.fr/joueur_31047.html"
"1573";"Walker";"Jack";22;300;"Premiership";1996;"17/18";"http://www.itsrugby.fr/joueur_31047.html"
"1574";"Walker";"Jack";21;2;"Premiership";1996;"16/17";"http://www.itsrugby.fr/joueur_31047.html"
"1575";"Ioane";"Akira";24;160;"Super Rugby";1995;"18/19";"http://www.itsrugby.fr/joueur_31049.html"
"1576";"Ioane";"Akira";23;1200;"Super Rugby";1995;"17/18";"http://www.itsrugby.fr/joueur_31049.html"
"1577";"Ioane";"Akira";22;718;"Super Rugby";1995;"16/17";"http://www.itsrugby.fr/joueur_31049.html"
"1578";"Ioane";"Akira";21;261;"Super Rugby";1995;"15/16";"http://www.itsrugby.fr/joueur_31049.html"
"1579";"Ioane";"Akira";20;506;"Super Rugby";1995;"14/15";"http://www.itsrugby.fr/joueur_31049.html"
"1580";"Ramos";"Thomas";23;865;"Top 14";1995;"18/19";"http://www.itsrugby.fr/joueur_31099.html"
"1581";"Ramos";"Thomas";22;1709;"Top 14";1995;"17/18";"http://www.itsrugby.fr/joueur_31099.html"
"1582";"Ramos";"Thomas";20;14;"Top 14";1995;"15/16";"http://www.itsrugby.fr/joueur_31099.html"
"1583";"Ramos";"Thomas";19;29;"Top 14";1995;"14/15";"http://www.itsrugby.fr/joueur_31099.html"
"1584";"Ramos";"Thomas";18;80;"Top 14";1995;"13/14";"http://www.itsrugby.fr/joueur_31099.html"
"1585";"Taylor";"Henry";24;19;"Premiership";1994;"17/18";"http://www.itsrugby.fr/joueur_31107.html"
"1586";"Taylor";"Henry";23;37;"Premiership";1994;"16/17";"http://www.itsrugby.fr/joueur_31107.html"
