"";"nom";"prenom";"competition";"age";"minutes";"saison";"WC_U20";"lien"
"1048";"Maximin";"Jimi";"Top 14";19;75;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_21600.html"
"1049";"Fidinde";"Jean-Charles";"Top 14";22;13;"13/14";"U20 WC";"http://www.itsrugby.fr/joueur_21638.html"
"1050";"Doumayrou";"Quentin";"Top 14";23;166;"10/11";"not U20 WC";"http://www.itsrugby.fr/joueur_21743.html"
"1051";"Buttin";"Jean-Marcellin";"Top 14";25;1237;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_21782.html"
"1052";"Buttin";"Jean-Marcellin";"Top 14";24;994;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_21782.html"
"1053";"Buttin";"Jean-Marcellin";"Top 14";23;933;"14/15";"U20 WC";"http://www.itsrugby.fr/joueur_21782.html"
"1054";"Buttin";"Jean-Marcellin";"Top 14";22;1325;"13/14";"U20 WC";"http://www.itsrugby.fr/joueur_21782.html"
"1055";"Buttin";"Jean-Marcellin";"Top 14";21;1078;"12/13";"U20 WC";"http://www.itsrugby.fr/joueur_21782.html"
"1056";"Buttin";"Jean-Marcellin";"Top 14";20;1416;"11/12";"U20 WC";"http://www.itsrugby.fr/joueur_21782.html"
"1057";"Vakatawa";"Virimi";"Top 14";22;243;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_21791.html"
"1058";"Vakatawa";"Virimi";"Top 14";21;640;"12/13";"not U20 WC";"http://www.itsrugby.fr/joueur_21791.html"
"1059";"Vakatawa";"Virimi";"Top 14";20;1134;"11/12";"not U20 WC";"http://www.itsrugby.fr/joueur_21791.html"
"1060";"Laval";"Victor";"Top 14";22;103;"11/12";"not U20 WC";"http://www.itsrugby.fr/joueur_21799.html"
"1061";"Laval";"Victor";"Top 14";21;30;"10/11";"not U20 WC";"http://www.itsrugby.fr/joueur_21799.html"
"1062";"Neveu";"Anael";"Top 14";23;57;"11/12";"not U20 WC";"http://www.itsrugby.fr/joueur_21949.html"
