"";"nom";"prenom";"club";"saison";"pays";"competition";"nationalite";"link"
"1573";"Brew";"Neil";"Toshiba Brave Lupus";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1966.html"
"1574";"Mapusua";"Seilala";"Kubota Spears";"13/14";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_1967.html"
"1575";"Mapusua";"Seilala";"Kubota Spears";"13/14";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_1967.html"
"1576";"Blackie";"Josh";"Kobelco Steelers";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1972.html"
"1577";"Soakai";"Alando";"Kubota Spears";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1980.html"
"1578";"Soakai";"Alando";"Kubota Spears";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_1980.html"
"1579";"Gregan";"George";"Suntory Sungoliath";"08/09";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_1983.html"
"1580";"Gerrard";"Mark";"NTT Shining Arcs";"10/11";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_1985.html"
"1581";"T-Pole";"Hale";"Ricoh Black Rams";"10/11";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_1995.html"
"1582";"Samo";"Radike";"Kintetsu Liners";"13/14";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2018.html"
"1583";"Samo";"Radike";"Kintetsu Liners";"13/14";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2018.html"
"1584";"Fairbanks";"Gene";"Kintetsu Liners";"12/13";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2021.html"
"1585";"Ashley-Cooper";"Adam";"Kobelco Steelers";"17/18";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2022.html"
"1586";"Norton-Knight";"Sam";"Panasonic Wildknights";"10/11";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2027.html"
"1587";"Hill";"David";"Toshiba Brave Lupus";"08/09";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2032.html"
"1588";"McDonald";"Angus";"Toyota Verblitz";"08/09";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2033.html"
"1589";"McIntyre";"Cameron";"NEC Green Rockets";"11/12";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2053.html"
"1590";"Tuitavake";"Anthony";"NEC Green Rockets";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2054.html"
"1591";"Palu";"Wyclif";"Toyota Verblitz";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2061.html"
"1592";"Hewat";"Peter";"Suntory Sungoliath";"10/11";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2065.html"
"1593";"Bates";"Steven";"Toshiba Brave Lupus";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2072.html"
"1594";"Donald";"Stephen";"Suntory Sungoliath";"16/17";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2076.html"
"1595";"McVerry";"Tom";"Kyuden Voltex";"12/13";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2128.html"
"1596";"Nel";"JP";"NTT Shining Arcs";"10/11";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2158.html"
"1597";"Kaino";"Jerome";"Toyota Verblitz";"12/13";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2168.html"
"1598";"Wilson";"Joel";"Ricoh Black Rams";"10/11";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2169.html"
"1599";"Bekker";"Andries";"Kobelco Steelers";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2175.html"
"1600";"Bekker";"Andries";"Kobelco Steelers";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2175.html"
"1601";"Jacobs";"Ben";"Kyuden Voltex";"12/13";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2183.html"
"1602";"Spies";"Pierre";"Kintetsu Liners";"15/16";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2189.html"
"1603";"Olivier";"Wynand";"Ricoh Black Rams";"12/13";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2190.html"
"1604";"Chapman";"Mitchell";"NTT Docomo Red Hurricanes";"11/12";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2196.html"
"1605";"Mika";"Bradley";"NTT Shining Arcs";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2198.html"
"1606";"Triggs";"Hayden";"Honda Heat";"11/12";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2213.html"
"1607";"Hola";"Pierre";"Kobelco Steelers";"08/09";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_2219.html"
"1608";"Van Heerden";"Wayne";"Suntory Sungoliath";"10/11";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2248.html"
"1609";"Pietersen";"Jon-Paul Roger";"Panasonic Wildknights";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2290.html"
"1610";"Pietersen";"Jon-Paul Roger";"Panasonic Wildknights";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2290.html"
"1611";"Grant";"Peter John";"Kobelco Steelers";"10/11";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2321.html"
"1612";"Pietersen";"Johan Christiaan ";"Kamaishi Seawaves";"17/18";"Japon";"Japon D2";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2327.html"
"1613";"Pietersen";"Johan Christiaan ";"Kamaishi Seawaves";"17/18";"Japon";"Japon D2";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2327.html"
"1614";"Viljoen";"Riaan";"NTT Docomo Red Hurricanes";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2457.html"
"1615";"Viljoen";"Riaan";"NTT Docomo Red Hurricanes";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_2457.html"
"1616";"Wallace-Harrison";"Adam";"NTT Shining Arcs";"10/11";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2511.html"
"1617";"Daruda";"Scott";"Kubota Spears";"10/11";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_2513.html"
"1618";"Toeava";"Isaia ";"Canon Eagles";"12/13";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2523.html"
"1619";"Fifita";"Pila";"Fukuoka Sanix Blues";"06/07";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_2595.html"
"1620";"Thorn";"Brad";"Munakata Sanix Blues";"11/12";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_2638.html"
"1621";"Fili";"Fa'atonu";"Kintetsu Liners";"11/12";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_2685.html"
"1622";"Aplon";"Gio Giaan";"Toyota Verblitz";"17/18";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_3449.html"
"1623";"Ioane";"Digby";"Honda Heat";"15/16";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_3616.html"
"1624";"Eaton";"Jason";"NTT Shining Arcs";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3728.html"
"1625";"Eaton";"Jason";"NTT Shining Arcs";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3728.html"
"1626";"Fa'amatuainu";"Jonathon";"Coca-Cola Red Sparks";"11/12";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_3860.html"
"1627";"Fuimaono-Sapolu";"Eliota ";"Coca-Cola Red Sparks";"13/14";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_3864.html"
"1628";"Fuimaono-Sapolu";"Eliota ";"Coca-Cola Red Sparks";"13/14";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_3864.html"
"1629";"Ellis";"Andrew";"Kobelco Steelers";"14/15";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3947.html"
"1630";"Ellis";"Andrew";"Kobelco Steelers";"14/15";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3947.html"
"1631";"Yates";"Steven";"Toyota Verblitz";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3949.html"
"1632";"Latimer";"Tanerau";"Toshiba Brave Lupus";"14/15";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3950.html"
"1633";"Latimer";"Tanerau";"Toshiba Brave Lupus";"14/15";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3950.html"
"1634";"Messam";"Liam";"Toshiba Brave Lupus";"15/16";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3975.html"
"1635";"Masaga";"Lelia";"Honda Heat";"15/16";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_3977.html"
"1636";"Fainga'a";"Anthony";"Kintetsu Liners";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_3989.html"
"1637";"Brown";"Tony";"Panasonic Wildknights";"05/06";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4112.html"
"1638";"Barnes";"Berrick";"Panasonic Wildknights";"13/14";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_4440.html"
"1639";"Barnes";"Berrick";"Panasonic Wildknights";"13/14";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_4440.html"
"1640";"Bruce";"Callum";"Canon Eagles";"12/13";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4450.html"
"1641";"Kauhenga";"Emosi";"Ricoh Black Rams";"10/11";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_4541.html"
"1642";"Kahui";"Richard";"Toshiba Brave Lupus";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4559.html"
"1643";"Kahui";"Richard";"Toshiba Brave Lupus";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4559.html"
"1644";"Sweeney";"Dwayne";"Kyuden Voltex";"12/13";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4564.html"
"1645";"Paringatai";"Jake";"Munakata Sanix Blues";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4576.html"
"1646";"Pisi";"Tusi";"Suntory Sungoliath";"10/11";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_4596.html"
"1647";"Thomson";"Adam";"Canon Eagles";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4612.html"
"1648";"Thomson";"Adam";"Canon Eagles";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4612.html"
"1649";"Levi";"Josh";"Yamaha Jubilo";"09/10";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_4616.html"
"1650";"Levave";"Faifili";"Toyota Verblitz";"14/15";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_4624.html"
"1651";"Levave";"Faifili";"Toyota Verblitz";"14/15";"Japon";"Japon";"Samoa";"http://www.itsrugby.fr/joueur_4624.html"
"1652";"Kawau";"Jason";"Kobelco Steelers";"11/12";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4628.html"
"1653";"Ierome";"Jeffrey";"Kintetsu Liners";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4631.html"
"1654";"Bowden";"Daniel";"Yamaha Jubilo";"14/15";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4634.html"
"1655";"Bowden";"Daniel";"Yamaha Jubilo";"14/15";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4634.html"
"1656";"Brett";"Stephen";"Toyota Verblitz";"11/12";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4637.html"
"1657";"Delany";"Mike";"Panasonic Wildknights";"11/12";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4640.html"
"1658";"Jane";"Corey";"Toshiba Brave Lupus";"16/17";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4651.html"
"1659";"Ai'i";"Orene";"Toyota Verblitz";"05/06";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4665.html"
"1660";"Daniel";"Keegan Rhys";"Kubota Spears";"14/15";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_4795.html"
"1661";"Daniel";"Keegan Rhys";"Kubota Spears";"14/15";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_4795.html"
